edge_index,sample_index,parameter,x_mm,y_mm,z_mm
2,74,7.400828739077249,51.09194766009389,-41.976743408037834,55.30000000000001
2,75,7.5008602759841105,49.23111903731631,-42.22309388939448,55.30000000000001
2,76,7.600891812890972,47.35947360229861,-42.4602955190862,55.30000000000001
2,77,7.700923349797834,45.477321067361885,-42.68830606011191,55.30000000000001
2,78,7.800954886704695,43.5849711493017,-42.90708344773045,55.30000000000001
2,79,7.900986423611557,41.682733564154326,-43.11658577832861,55.30000000000001
2,80,8.00101796051842,39.77091802217312,-43.31677129610756,55.30000000000001
2,81,8.101049497425281,37.84983422307212,-43.50759837760904,55.30000000000001
2,82,8.201081034332141,35.9197918515917,-43.689025514091355,55.30000000000001
2,83,8.301112571239003,33.98110057344128,-43.861011291753144,55.30000000000001
2,84,8.401144108145864,32.03407003167375,-44.02351436979235,55.30000000000001
2,85,8.501175645052726,30.079009843546366,-44.17649345627635,55.30000000000001
2,86,8.601207181959587,28.116229597926164,-44.319907281788176,55.30000000000001
2,87,8.701238718866449,26.146038853298815,-44.45371457080298,55.30000000000001
2,88,8.801270255773312,24.168747136444,-44.577874010737446,55.30000000000001
2,89,8.901301792680174,22.18466394184404,-44.692344218603715,55.30000000000001
2,90,9.001333329587036,20.194098731896737,-44.79708370518779,55.30000000000001
2,91,9.101364866493897,18.19736093800995,-44.892050836660495,55.30000000000001
2,92,9.201396403400759,16.19475996266061,-44.97720379351671,55.30000000000001
2,93,9.30142794030762,14.186605182508806,-45.05250052672575,55.30000000000001
2,94,9.40145947721448,12.173205952665429,-45.117898710962436,55.30000000000001
2,95,9.501491014121342,10.154871612220791,-45.173355694774216,55.30000000000001
2,96,9.601522551028204,8.131911491152582,-45.21882844752475,55.30000000000001
2,97,9.701554087935065,6.104634918741594,-45.25427350293853,55.30000000000001
2,98,9.801585624841927,4.073351233637568,-45.2796468990544,55.30000000000001
2,99,9.901617161748788,2.0383697957306657,-45.29490411437749,55.30000000000001
2,100,10.00164869865565,-4.440892098500626e-15,-45.300000000000004,55.30000000000001
3,0,-3.955,1.7763568394002505e-14,-45.300000000000004,55.300000000000004
3,1,-3.8759,-0.7909999999999817,-45.300000000000004,55.300000000000004
3,2,-3.7968,-1.5819999999999812,-45.300000000000004,55.300000000000004
3,3,-3.7177000000000002,-2.3729999999999807,-45.300000000000004,55.300000000000004
3,4,-3.6386000000000003,-3.16399999999998,-45.300000000000004,55.300000000000004
3,5,-3.5595,-3.954999999999984,-45.300000000000004,55.300000000000004
3,6,-3.4804,-4.745999999999984,-45.300000000000004,55.300000000000004
3,7,-3.4013,-5.536999999999983,-45.300000000000004,55.300000000000004
3,8,-3.3222,-6.3279999999999825,-45.300000000000004,55.300000000000004
3,9,-3.2431,-7.118999999999982,-45.300000000000004,55.300000000000004
3,10,-3.164,-7.9099999999999815,-45.300000000000004,55.300000000000004
3,11,-3.0849,-8.700999999999981,-45.300000000000004,55.300000000000004
3,12,-3.0058000000000002,-9.49199999999998,-45.300000000000004,55.300000000000004
3,13,-2.9267000000000003,-10.28299999999998,-45.300000000000004,55.300000000000004
3,14,-2.8476,-11.073999999999984,-45.300000000000004,55.300000000000004
3,15,-2.7685000000000004,-11.864999999999979,-45.300000000000004,55.300000000000004
3,16,-2.6894,-12.655999999999983,-45.300000000000004,55.300000000000004
3,17,-2.6102999999999996,-13.446999999999987,-45.300000000000004,55.300000000000004
3,18,-2.5312,-14.237999999999982,-45.300000000000004,55.300000000000004
3,19,-2.4520999999999997,-15.028999999999986,-45.300000000000004,55.300000000000004
3,20,-2.373,-15.81999999999998,-45.300000000000004,55.300000000000004
3,21,-2.2939,-16.610999999999983,-45.300000000000004,55.300000000000004
3,22,-2.2148000000000003,-17.40199999999998,-45.300000000000004,55.300000000000004
3,23,-2.1357,-18.192999999999984,-45.300000000000004,55.300000000000004
3,24,-2.0566000000000004,-18.98399999999998,-45.300000000000004,55.300000000000004
3,25,-1.9775,-19.774999999999984,-45.300000000000004,55.300000000000004
3,26,-1.8984,-20.56599999999998,-45.300000000000004,55.300000000000004
3,27,-1.8192999999999997,-21.356999999999985,-45.300000000000004,55.300000000000004
3,28,-1.7401999999999997,-22.147999999999985,-45.300000000000004,55.300000000000004
3,29,-1.6611000000000002,-22.93899999999998,-45.300000000000004,55.300000000000004
3,30,-1.5820000000000003,-23.72999999999998,-45.300000000000004,55.300000000000004
3,31,-1.5029,-24.520999999999983,-45.300000000000004,55.300000000000004
3,32,-1.4238,-25.311999999999983,-45.300000000000004,55.300000000000004
3,33,-1.3447,-26.102999999999984,-45.300000000000004,55.300000000000004
3,34,-1.2655999999999996,-26.893999999999988,-45.300000000000004,55.300000000000004
3,35,-1.1865,-27.68499999999998,-45.300000000000004,55.300000000000004
3,36,-1.1074000000000002,-28.47599999999998,-45.300000000000004,55.300000000000004
3,37,-1.0283000000000002,-29.26699999999998,-45.300000000000004,55.300000000000004
3,38,-0.9491999999999998,-30.057999999999986,-45.300000000000004,55.300000000000004
3,39,-0.8700999999999999,-30.848999999999982,-45.300000000000004,55.300000000000004
3,40,-0.7909999999999999,-31.639999999999983,-45.300000000000004,55.300000000000004
3,41,-0.7119000000000004,-32.430999999999976,-45.300000000000004,55.300000000000004
3,42,-0.6328,-33.22199999999998,-45.300000000000004,55.300000000000004
3,43,-0.5537000000000001,-34.012999999999984,-45.300000000000004,55.300000000000004
3,44,-0.47460000000000013,-34.80399999999998,-45.300000000000004,55.300000000000004
3,45,-0.39549999999999974,-35.594999999999985,-45.300000000000004,55.300000000000004
3,46,-0.3163999999999998,-36.38599999999998,-45.300000000000004,55.300000000000004
3,47,-0.2373000000000003,-37.17699999999998,-45.300000000000004,55.300000000000004
3,48,-0.15820000000000034,-37.96799999999998,-45.300000000000004,55.300000000000004
3,49,-0.07909999999999995,-38.758999999999986,-45.300000000000004,55.300000000000004
3,50,0.0,-39.54999999999998,-45.300000000000004,55.300000000000004
3,51,0.07910000000000039,-40.34099999999999,-45.300000000000004,55.300000000000004
3,52,0.1581999999999999,-41.131999999999984,-45.300000000000004,55.300000000000004
3,53,0.2373000000000003,-41.92299999999999,-45.300000000000004,55.300000000000004
3,54,0.3164000000000007,-42.71399999999999,-45.300000000000004,55.300000000000004
3,55,0.3955000000000002,-43.50499999999998,-45.300000000000004,55.300000000000004
3,56,0.4746000000000006,-44.29599999999999,-45.300000000000004,55.300000000000004
3,57,0.5536999999999992,-45.086999999999975,-45.300000000000004,55.300000000000004
3,58,0.6327999999999996,-45.87799999999998,-45.300000000000004,55.300000000000004
